id,scheme_slug,title,benefit_type,amount_inr,frequency,details
1,pm-kisan,"₹6,000 Annual Direct Cash Benefit",Direct Cash Transfer (DBT),6000.0,Quarterly,"₹2,000 transferred every four months directly into Aadhaar-linked bank accounts."
2,ayushman-bharat-pmjay,₹5 Lakh Cashless Health Cover,Health & Accidental Insurance Cover,500000.0,Claim-Based,"Covers hospitalization, diagnostic tests, surgeries, medicines, and intensive care across 27,000+ empaneled hospitals."
3,sukanya-samriddhi-yojana,High Compounded Returns & Tax Exemption,Direct Cash Transfer (DBT),150000.0,Annual,"8.2% annual interest compounded yearly, completely exempt from income tax under Section 80C."
4,ignoaps-old-age-pension,Monthly Cash Pension,Monthly Social Security Pension,2000.0,Monthly,"₹1,000 to ₹2,000 per month credited directly into beneficiary bank accounts."
5,pm-vishwakarma,"₹15,000 Tool Incentive & ₹3 Lakh Low-Interest Loan",Subsidized / Collateral-Free Loan,300000.0,One-Time,"₹15,000 digital e-voucher for modern tools + ₹1 Lakh (Tranche 1) and ₹2 Lakh (Tranche 2) business loan at concessional 5% interest."
6,pmay-gramin,₹1.2 Lakh to ₹1.3 Lakh Construction Grant,Asset & Equipment Subsidy,120000.0,One-Time,"Direct financial aid for building pucca house + 90 days MGNREGA unskilled labour wages + ₹12,000 toilet grant."
7,pm-ujjwala-yojana,Free LPG Connection + First Refill & Stove,Asset & Equipment Subsidy,1600.0,One-Time,Full security deposit waiver for cylinder and regulator + free first gas refill + free LPG stove.
8,pm-mudra-yojana,Collateral-Free Business Loans up to ₹10 Lakh,Subsidized / Collateral-Free Loan,1000000.0,One-Time,"Shishu (up to ₹50,000), Kishore (₹50,000 to ₹5 Lakh), Tarun (₹5 Lakh to ₹10 Lakh) with zero collateral requirements."
9,atal-pension-yojana,Guaranteed Monthly Pension Post 60,Monthly Social Security Pension,1000.0,Monthly,"Guaranteed lifetime monthly pension of ₹1,000, ₹2,000, ₹3,000, ₹4,000, or ₹5,000 depending on contribution amount."
10,post-matric-scholarship,Full Fee Reimbursement + Monthly Allowance,Direct Cash Transfer (DBT),50000.0,Annual,Complete coverage of non-refundable college fees and monthly study allowance directly to student bank account.
11,pm-matru-vandana-yojana,"₹5,000 Direct Maternity Cash Incentive",Direct Cash Transfer (DBT),5000.0,One-Time,Direct cash assistance to compensate for wage loss and support nutritious diet before and after delivery.
12,pm-fasal-bima-yojana,Full Crop Damage Insurance Claim,Health & Accidental Insurance Cover,200000.0,Claim-Based,Direct settlement of claim amount into farmer bank accounts based on crop loss assessment.
13,mp-ladli-behna-yojana,"₹1,250 Monthly Direct Cash Transfer",Direct Cash Transfer (DBT),1250.0,Monthly,"₹15,000 annual direct cash transfer credited on the 10th of every month into Aadhaar-linked accounts."
14,mp-kisan-kalyan-yojana,"₹6,000 Annual MP State Farmer Grant",Direct Cash Transfer (DBT),6000.0,Quarterly,"₹2,000 transferred in three installments directly to verified landholding farmers in MP."
15,mp-medhavi-vidyarthi-yojana,100% Higher Education Tuition Fee Waiver,Scholarship & Academic Stipend,150000.0,Annual,Direct payment of entire college and course tuition fee directly to the educational institution by MP Government.
16,mh-majhi-ladki-bahin,"₹1,500 Monthly Financial Assistance",Direct Cash Transfer (DBT),1500.0,Monthly,"₹18,000 annual direct benefit transfer deposited into Aadhaar-linked bank accounts."
201,assam-solar-krishi-pump-subsidy,Solar Krishi Pump Subsidy,Asset & Equipment Subsidy,75000.0,One-Time,"Up to 90% capital subsidy for installing off-grid solar irrigation pumps. (₹75,000)"
17,mh-namo-shetkari-yojana,"₹6,000 Annual Maharashtra Farmer Grant",Direct Cash Transfer (DBT),6000.0,Quarterly,"₹2,000 per installment transferred directly to verified landholding farmers in Maharashtra."
18,ka-gruha-lakshmi-scheme,"₹2,000 Monthly Head of Household Grant",Direct Cash Transfer (DBT),2000.0,Monthly,"₹24,000 annual direct benefit transfer credited monthly into the woman head's bank account."
19,ka-yuva-nidhi-scheme,"₹3,000 Monthly Unemployment Allowance",Direct Cash Transfer (DBT),3000.0,Monthly,Monthly financial allowance for up to 2 years while seeking employment or attending skill development training.
20,andhra-pradesh-kisan-samriddhi-crop-assistance,Kisan Samriddhi & Crop Assistance,Asset & Equipment Subsidy,6000.0,One-Time,"Financial input subsidy for seed, fertilizer, and organic cultivation equipment. (₹6,000)"
21,andhra-pradesh-solar-krishi-pump-subsidy,Solar Krishi Pump Subsidy,Asset & Equipment Subsidy,75000.0,One-Time,"Up to 90% capital subsidy for installing off-grid solar irrigation pumps. (₹75,000)"
