id,slug,title,ministry,state,category,is_central,benefit_summary,rules_count,docs_count,application_url,description,last_verified_at
1,pm-kisan,Pradhan Mantri Kisan Samman Nidhi,Ministry of Agriculture and Farmers Welfare,ALL_INDIA,Agriculture,1,"₹6,000 Annual Direct Cash Benefit",2,3,https://pmkisan.gov.in,"Direct income support of ₹6,000 per year paid in three equal installments to small and marginal farmer families.",2026-08-01
2,ayushman-bharat-pmjay,Ayushman Bharat PM-JAY,Ministry of Health and Family Welfare,ALL_INDIA,Healthcare,1,₹5 Lakh Cashless Health Cover,1,2,https://beneficiary.nha.gov.in,World's largest health assurance scheme providing ₹5 Lakh cashless cover per family per year for secondary and tertiary care hospitalization.,2026-08-01
3,sukanya-samriddhi-yojana,Sukanya Samriddhi Yojana,Ministry of Finance,ALL_INDIA,Women & Child,1,High Compounded Returns & Tax Exemption,2,2,https://www.indiapost.gov.in,Small deposit savings scheme for girl child with high government-backed interest (8.2% p.a.) and triple tax exemption (EEE).,2026-08-01
4,ignoaps-old-age-pension,Indira Gandhi National Old Age Pension Scheme,Ministry of Rural Development,ALL_INDIA,Social Welfare,1,Monthly Cash Pension,2,4,https://nsap.nic.in,Monthly financial assistance for senior citizens living below poverty line to ensure dignified social security.,2026-08-01
5,pm-vishwakarma,PM Vishwakarma Scheme,"Ministry of Micro, Small and Medium Enterprises",ALL_INDIA,Employment & Skills,1,"₹15,000 Tool Incentive & ₹3 Lakh Low-Interest Loan",2,3,https://pmvishwakarma.gov.in,"Holistic support scheme providing skill verification, ₹15,000 modern toolkit incentive, and collateral-free enterprise loans up to ₹3 Lakh at 5% interest for traditional artisans.",2026-08-01
6,pmay-gramin,Pradhan Mantri Awas Yojana - Gramin,Ministry of Rural Development,ALL_INDIA,Housing,1,₹1.2 Lakh to ₹1.3 Lakh Construction Grant,1,3,https://pmayg.nic.in,"Financial grant of up to ₹1,30,000 for houseless rural households and families living in kutcha/dilapidated homes to construct safe, pucca houses.",2026-08-01
7,pm-ujjwala-yojana,Pradhan Mantri Ujjwala Yojana 2.0,Ministry of Petroleum and Natural Gas,ALL_INDIA,Social Welfare,1,Free LPG Connection + First Refill & Stove,3,3,https://pmuy.gov.in,Deposit-free LPG connection for adult women of poor households along with free first refill and hotplate/stove.,2026-08-01
8,pm-mudra-yojana,Pradhan Mantri Mudra Yojana,Ministry of Finance,ALL_INDIA,Business & Finance,1,Collateral-Free Business Loans up to ₹10 Lakh,1,4,https://www.udyamimitra.in,"Collateral-free loans up to ₹10 Lakh for small manufacturing, processing, retail, and service enterprises under Shishu, Kishore, and Tarun categories.",2026-08-01
9,atal-pension-yojana,Atal Pension Yojana,Ministry of Finance,ALL_INDIA,Social Welfare,1,Guaranteed Monthly Pension Post 60,1,2,https://www.npscra.nsdl.co.in,"Government-backed pension scheme for workers in the unorganized sector providing guaranteed monthly pension of ₹1,000 to ₹5,000 post age 60.",2026-08-01
10,post-matric-scholarship,Post-Matric Scholarship for Higher Education,Ministry of Social Justice and Empowerment,ALL_INDIA,Education,1,Full Fee Reimbursement + Monthly Allowance,2,4,https://scholarships.gov.in,100% compulsory tuition fee waiver and monthly maintenance allowance for students pursuing post-matriculation or post-secondary courses.,2026-08-01
